State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Georgia;Bachelors Degree;None;Full Time;Land Development;Private;90000
Illinois;Bachelors Degree;PE;Full Time;Structural;Private;131000
Kentucky;Bachelors Degree;EIT;Full Time;Geotechnical;Private;54000
Washington;Bachelors Degree;EIT;Full Time;Construction/Field;Private;117000
Maryland;Bachelors Degree;PE;Full Time;Government/Municipal;Public;108000
Texas;Bachelors Degree;PE;Full Time;Government/Municipal;Public;84000
Pennsylvania;Bachelors Degree;PE;Full Time;Structural;Private;105000
Pennsylvania;Bachelors Degree;EIT;Full Time;Land Development;Private;63000
Massachusetts;Bachelors Degree;None;Full Time;Transportation;Public;90000
New Jersey;Bachelors Degree;PE;Full Time;Transportation;Private;108000
Oregon;Bachelors Degree;None;Full Time;Government/Municipal;Public;75000
New Mexico;Bachelors Degree;None;Part Time;Water Resources;Public;52000
Missouri;Bachelors Degree;PE;Full Time;Water Resources;Private;130000
Florida;Bachelors Degree;PE;Full Time;Transportation;Private;110000
North Carolina;High School Diploma;None;Full Time;Transportation;Private;56160
Kansas;Bachelors Degree;PE;Full Time;Structural;Private;76000
Connecticut;Masters Degree;PE;Full Time;Water Resources;Private;115000
Connecticut;Bachelors Degree;EIT;Full Time;Structural;Private;79000
New York;Bachelors Degree;PE;Full Time;Architectural Engineering;Private;93500
Arizona;Bachelors Degree;PE;Full Time;Transportation;Private;101504
New York;Bachelors Degree;PE;Full Time;Transportation;Private;90000
Connecticut;Masters Degree;EIT;Full Time;Transportation;Public;110000
Louisiana;Masters Degree;PE;Full Time;Geotechnical;Private;105000
Texas;Masters Degree;PE;Full Time;Power/Electrical;Public;120000
Washington;High School Diploma;None;Full Time;Government/Municipal;Public;129000
Connecticut;Bachelors Degree;PE;Full Time;Transportation;Private;115000
North Carolina;Bachelors Degree;EIT;Full Time;Construction/Field;Private;83000
New Mexico;Masters Degree;PE;Full Time;Dams;Public;106000
Pennsylvania;Bachelors Degree;EIT;Full Time;Land Development;Private;76500
New Jersey;Bachelors Degree;None;Full Time;Construction/Field;Private;92000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;70000
California;Bachelors Degree;PE;Full Time;Construction/Field;Private;145000
Utah;Bachelors Degree;PE;Full Time;Power/Electrical;Private;134000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;78000
Connecticut;Masters Degree;PE;Full Time;Environmental;Private;102000
Maryland;Masters Degree;PE;Full Time;Transportation;Private;149000
Georgia;Bachelors Degree;PE;Full Time;Aviation4;Private;88500
Indiana;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;85000
California;Bachelors Degree;EIT;Full Time;Water Resources;Private;80000
Washington;Bachelors Degree;None;Full Time;Transportation;Private;105000
Minnesota;Bachelors Degree;PE;Full Time;Land Development;Private;80500
Tennessee;Bachelors Degree;None;Full Time;Government/Municipal;Public;96969
Georgia;Bachelors Degree;EIT;Full Time;Water Resources;Private;85000
Washington;Bachelors Degree;EIT;Full Time;Construction/Field;Private;94000
Texas;Bachelors Degree;PE;Full Time;Transportation;Public;130000
Washington;Bachelors Degree;EIT;Full Time;Geotechnical;Private;115000
North Carolina;Bachelors Degree;PE;Full Time;Government/Municipal;Public;82600
Illinois;Bachelors Degree;PE;Full Time;Transportation;Public;83000
Oregon;Bachelors Degree;EIT;Full Time;Transportation;Private;84000
South Dakota;Masters Degree;PE;Full Time;Government/Municipal;Public;110000
Ohio;Masters Degree;PE;Full Time;Bridges;Private;105000
Texas;Bachelors Degree;EIT;Full Time;Site Design;Private;93500
New Jersey;Bachelors Degree;EIT;Full Time;Land Development;Private;75500
Florida;Bachelors Degree;PE;Full Time;Land Development;Private;105000
Arizona;Bachelors Degree;EIT;Full Time;Aviation;Public;76800
California;Bachelors Degree;None;Full Time;Power/Electrical;Public;84851
California;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;75000
Missouri;Masters Degree;PE;Full Time;Structural;Private;114000
Washington;Bachelors Degree;EIT;Full Time;Water Resources;Public;75000
California;Bachelors Degree;PE;Full Time;Water Resources;Public;140000
Ohio;Bachelors Degree;PE;Full Time;Land Development;Private;120000
Kentucky;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;65000
Pennsylvania;Bachelors Degree;PE;Full Time;Bridges;Private;85612
Minnesota;Bachelors Degree;EIT;Full Time;Railroad;Private;86000
Massachusetts;Bachelors Degree;PE;Full Time;Transportation;Private;125000
Virginia;Bachelors Degree;EIT;Full Time;Transportation;Private;73500
Washington;Bachelors Degree;None;Full Time;Transportation;Public;74376
Texas;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;78000
Illinois;Masters Degree;EIT;Full Time;Transportation;Public;80000
Florida;Masters Degree;PE;Full Time;Land Development;Private;95000
